contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135,labels
715816961.0000019,5592320.999999867,0.8819150358611934,0.7605718010700745,0.72036303877446,1.2558709020358019,0.7605718010700745,715816961.0000173,5592321.000000049,0.870700207560507,0.7423080670796648,0.611055566687405,1.3297269146015387,0.7423080670796648,715816961.0000018,5592320.99999986,0.8820791921620088,0.7601065677722743,0.6989699060720795,1.2571921388711658,0.7601065677722743,715816961.0000185,5592321.00000004,0.8719937212022808,0.74455924098119,0.6160862525168596,1.3240819422058516,0.74455924098119,gundul
715816961.0000005,5592320.999999893,0.8808963373122248,0.7560527784034182,0.6522692213879671,1.1943335228983127,0.7560527784034182,715816961.0000134,5592321.000000055,0.8682043934861513,0.7343690747072855,0.5497722105200956,1.2811112889288006,0.7343690747072855,715816961.0000012,5592320.999999897,0.8788907463640546,0.7543439034278183,0.6457394943581652,1.2010176588024857,0.7543439034278183,715816961.0000145,5592321.000000024,0.8688796820603755,0.7354438459902182,0.5481463626147404,1.2797795597393058,0.7354438459902182,gundul
715816961.0000002,5592320.999999979,0.9892443464187332,0.976339245979921,0.7593068185034462,0.13087980328076546,0.976339245979921,715816961.0000027,5592321.000000005,0.9884217253927294,0.9754697045078664,0.6985932585343251,0.13398684096496263,0.9754697045078664,715816961.000001,5592320.999999983,0.9888114867666107,0.976604614406768,0.7665961180370371,0.12832886399330884,0.976604614406768,715816961.0000025,5592321.000000003,0.9883602641756891,0.9752028163699314,0.6724580091501315,0.13554043833001478,0.9752028163699314,gundul
715816960.9999996,5592320.999999978,0.9890908723064145,0.9769582691470461,0.7169756896487919,0.12782851645562243,0.9769582691470461,715816961.000003,5592321.000000009,0.9882112368569044,0.9751137721642105,0.631586278585721,0.13724258887127813,0.9751137721642105,715816960.9999998,5592320.999999977,0.9892805154683406,0.9770467466430549,0.7250083836145496,0.12720586242894746,0.9770467466430549,715816961.000003,5592321.0000000065,0.9881154987957178,0.9751138117272391,0.6385066564024374,0.13691565256417892,0.9751138117272391,gundul
715816961.0000011,5592320.999999912,0.9400975610554752,0.8744659329660213,0.7571455083724721,0.6741216653155476,0.8744659329660213,715816961.000012,5592321.000000018,0.9352944842999609,0.8655897856260696,0.6814329992095318,0.7132804508724055,0.8655897856260696,715816961.0000005,5592320.999999912,0.939170546287242,0.8716237286609092,0.7508727400987415,0.6867647376610176,0.8716237286609092,715816961.0000125,5592321.000000027,0.9350887605641917,0.8656736977967834,0.6880520260459073,0.7127242014665195,0.8656736977967834,gundul
715816960.9999995,5592320.99999996,0.9766238149728055,0.9494721298840586,0.720507387774256,0.27411377819745747,0.9494721298840586,715816961.000005,5592321.000000015,0.9740411642830318,0.9451928658217194,0.6202150996381931,0.2930437331833506,0.9451928658217194,715816960.9999996,5592320.99999996,0.976415511667832,0.9492107322493173,0.7103311359041553,0.27437478605920895,0.9492107322493173,715816961.0000048,5592321.0000000065,0.9737248420919192,0.9445799117509721,0.6127645417324873,0.2952233971688173,0.9445799117509721,gundul
715816961.0000002,5592320.9999999935,0.9947421927399333,0.988846053981556,0.6505381032518062,0.05991631645298317,0.988846053981556,715816961.0000008,5592321.0,0.9943547982708533,0.9875178875867943,0.5399787781280786,0.06642456847038863,0.9875178875867943,715816961.0000001,5592320.9999999935,0.9947328402971995,0.9886680980336258,0.6296691315247304,0.06086593754385566,0.9886680980336258,715816961.0000008,5592321.000000001,0.9942412756277313,0.9873388912545482,0.5107877803146288,0.06691942698382249,0.9873388912545482,gundul
715816961.0000002,5592320.999999996,0.9964399599067231,0.9923192949266573,0.6838910860394387,0.04181586555003099,0.9923192949266573,715816961.0000007,5592321.000000005,0.996088517999007,0.9914604530160447,0.568598538067609,0.046275452968006926,0.9914604530160447,715816961.0000001,5592320.999999994,0.9964137874786293,0.9922301918332034,0.6893654163104025,0.04221486829141939,0.9922301918332034,715816961.0000006,5592321.000000005,0.9960773783296637,0.9914604388139308,0.5308181086763119,0.046265662497719115,0.9914604388139308,gundul
715816960.9999999,5592320.999999976,0.9862946889952247,0.9713062845017123,0.7279949099700149,0.1574848297774329,0.9713062845017123,715816961.0000032,5592321.000000007,0.9852164198698972,0.9688085239281243,0.6343680123561348,0.16954736275411678,0.9688085239281243,715816960.9999992,5592320.999999976,0.9862799724306084,0.9708653854431109,0.7274115697646937,0.15952186864720191,0.9708653854431109,715816961.0000032,5592321.000000008,0.9853007291402142,0.9688085107404478,0.6413521021066761,0.16983148953662006,0.9688085107404478,gundul
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,gundul
